infant_mmu,whole_brain_gm_fw,whole_brain_wm_fw,whole_brain_wm_fat,timepoint,GD40_weight_kg,cingulate_gm_fw,cingulate_wm_fw,cingulate_wm_fat,is_treated,frontal_gm_fw,frontal_wm_fw,frontal_wm_fat,prefrontal_gm_fw,prefrontal_wm_fw,prefrontal_wm_fat,templimbic_gm_fw,templimbic_wm_fw,templimbic_wm_fat,num_dtivol_discarded,frontal_gray_volume_AUC,prefrontal_gray_volume_AUC,cing_gray_volume_AUC,frontal_white_volume_AUC,frontal_gray_fw_AUC,prefrontal_gray_fw_AUC,cing_gray_fw_AUC,frontal_white_fw_AUC,cpt_false_alarms,id_ed_misses,Maternal_il6_peak
45938,0.176266,0.136061,0.345571,1,7.72,0.16686,0.108251,0.371749,1,0.141944,0.116246,0.394374,0.122574,0.100246,0.380574,0.192415,0.136643,0.336276,2,8516.6318178,7000.0442065,2513.7093115,8516.6318178,0.1634118791,0.1574282767,0.1816355017,0.127983678,8.2105263158,0.0486108778,90.83
45938,0.126873,0.10305,0.369162,2,7.72,0.125621,0.063173,0.367773,1,0.117285,0.081852,0.411922,0.099777,0.060556,0.379649,0.168351,0.136807,0.351772,1,8516.6318178,7000.0442065,2513.7093115,8516.6318178,0.1634118791,0.1574282767,0.1816355017,0.127983678,8.2105263158,0.0486108778,90.83
45938,0.211315,0.164733,0.425619,3,7.72,0.200355,0.117432,0.410275,1,0.179837,0.141537,0.466536,0.175864,0.137261,0.427461,0.224531,0.168529,0.377667,4,8516.6318178,7000.0442065,2513.7093115,8516.6318178,0.1634118791,0.1574282767,0.1816355017,0.127983678,8.2105263158,0.0486108778,90.83
45938,0.211978,0.152797,0.430386,4,7.72,0.199197,0.118723,0.41934,1,0.181375,0.143028,0.472156,0.179713,0.137854,0.431834,0.214775,0.16622,0.391453,0,8516.6318178,7000.0442065,2513.7093115,8516.6318178,0.1634118791,0.1574282767,0.1816355017,0.127983678,8.2105263158,0.0486108778,90.83
45938,0.219129,0.168489,0.447942,5,7.72,0.213689,0.122592,0.427366,1,0.185318,0.157678,0.484091,0.196198,0.136916,0.423628,0.240751,0.193564,0.424598,2,8516.6318178,7000.0442065,2513.7093115,8516.6318178,0.1634118791,0.1574282767,0.1816355017,0.127983678,8.2105263158,0.0486108778,90.83
45944,0.159498,0.139086,0.361448,1,5.03,0.1658,0.097327,0.374669,1,0.133921,0.119072,0.405931,0.111825,0.089485,0.383138,0.204101,0.134497,0.351142,1,6717.6360846,5461.229598,1822.4827743,6717.6360846,0.1725843601,0.171586544,0.2056874966,0.1490163622,17.35,0,1122.52
45944,0.178522,0.151095,0.39009,2,5.03,0.198213,0.149519,0.443195,1,0.142258,0.134411,0.429901,0.165691,0.103156,0.386743,0.216938,0.172051,0.378164,7,6717.6360846,5461.229598,1822.4827743,6717.6360846,0.1725843601,0.171586544,0.2056874966,0.1490163622,17.35,0,1122.52
45944,0.206509,0.168804,0.421555,3,5.03,0.215476,0.128233,0.433457,1,0.190105,0.155199,0.456632,0.181568,0.138117,0.425139,0.220881,0.164025,0.375023,3,6717.6360846,5461.229598,1822.4827743,6717.6360846,0.1725843601,0.171586544,0.2056874966,0.1490163622,17.35,0,1122.52
45944,0.212651,0.175556,0.4457,4,5.03,0.212784,0.13613,0.459573,1,0.185128,0.163564,0.490153,0.179774,0.146761,0.444954,0.218857,0.174939,0.402707,7,6717.6360846,5461.229598,1822.4827743,6717.6360846,0.1725843601,0.171586544,0.2056874966,0.1490163622,17.35,0,1122.52
45944,0.207724,0.168147,0.438006,5,5.03,0.205303,0.121622,0.454463,1,0.183896,0.148351,0.477143,0.17841,0.132277,0.435391,0.210509,0.163448,0.417354,5,6717.6360846,5461.229598,1822.4827743,6717.6360846,0.1725843601,0.171586544,0.2056874966,0.1490163622,17.35,0,1122.52
45945,0.146152,0.128171,0.36232,1,10.22,0.155485,0.113102,0.384981,0,0.136143,0.113986,0.396235,0.12135,0.085969,0.362943,0.19119,0.15332,0.356239,8,8264.5085535,7407.9354264,2354.71949,8264.5085535,0.1622652868,0.1571531442,0.18034099,0.1345830075,1.8,0.0298921239,31.44
45945,0.143556,0.12084,0.3854,2,10.22,0.144553,0.085726,0.389554,0,0.137418,0.099987,0.404569,0.114799,0.076961,0.366829,0.184753,0.152586,0.380677,6,8264.5085535,7407.9354264,2354.71949,8264.5085535,0.1622652868,0.1571531442,0.18034099,0.1345830075,1.8,0.0298921239,31.44
45945,0.199474,0.152542,0.423839,3,10.22,0.186993,0.103033,0.407728,0,0.178981,0.140284,0.445252,0.164883,0.132914,0.404655,0.210039,0.160968,0.393109,3,8264.5085535,7407.9354264,2354.71949,8264.5085535,0.1622652868,0.1571531442,0.18034099,0.1345830075,1.8,0.0298921239,31.44
45945,0.190258,0.161927,0.441515,4,10.22,0.19753,0.140496,0.444093,0,0.164595,0.157058,0.463576,0.182949,0.142943,0.424119,0.218568,0.175981,0.405354,5,8264.5085535,7407.9354264,2354.71949,8264.5085535,0.1622652868,0.1571531442,0.18034099,0.1345830075,1.8,0.0298921239,31.44
45945,0.208381,0.166466,0.444518,5,10.22,0.210641,0.124312,0.4361,0,0.179817,0.150007,0.457814,0.185107,0.135337,0.418876,0.216593,0.167589,0.413101,8,8264.5085535,7407.9354264,2354.71949,8264.5085535,0.1622652868,0.1571531442,0.18034099,0.1345830075,1.8,0.0298921239,31.44
45946,0.131716,0.138412,0.3742,1,9.53,0.11611,0.107097,0.411665,0,0.117479,0.114206,0.412347,0.103668,0.09567,0.382816,0.167727,0.141824,0.361547,3,8032.743135,7341.4064417,2395.1388935,8032.743135,0.1471557456,0.1392580801,0.1454293831,0.1268991882,7.45,0.0045336788,2.94
45946,0.121494,0.126478,0.38893,2,9.53,0.090419,0.074733,0.41873,0,0.117364,0.096416,0.421151,0.11113,0.101908,0.386374,0.160332,0.147312,0.374633,0,8032.743135,7341.4064417,2395.1388935,8032.743135,0.1471557456,0.1392580801,0.1454293831,0.1268991882,7.45,0.0045336788,2.94
45946,0.180269,0.16187,0.434666,3,9.53,0.161145,0.118527,0.449999,0,0.154005,0.140863,0.477336,0.147677,0.140831,0.427424,0.203482,0.155305,0.393658,1,8032.743135,7341.4064417,2395.1388935,8032.743135,0.1471557456,0.1392580801,0.1454293831,0.1268991882,7.45,0.0045336788,2.94
45946,0.185547,0.158932,0.442187,4,9.53,0.166283,0.119965,0.464037,0,0.167248,0.137752,0.481268,0.155731,0.120542,0.42562,0.199136,0.164934,0.41176,2,8032.743135,7341.4064417,2395.1388935,8032.743135,0.1471557456,0.1392580801,0.1454293831,0.1268991882,7.45,0.0045336788,2.94
45946,0.185484,0.147751,0.452245,5,9.53,0.183676,0.111963,0.469886,0,0.161026,0.133692,0.49392,0.15799,0.110177,0.420776,0.199541,0.154814,0.440801,0,8032.743135,7341.4064417,2395.1388935,8032.743135,0.1471557456,0.1392580801,0.1454293831,0.1268991882,7.45,0.0045336788,2.94
45967,0.163546,0.138522,0.365473,1,10.06,0.170563,0.111678,0.403626,1,0.14805,0.121203,0.419616,0.122129,0.098476,0.388467,0.184767,0.144495,0.372546,3,7715.6704538,6619.8644748,2358.4841765,7715.6704538,0.1620113891,0.1565157424,0.1849422252,0.1329395357,7.05,0.0051847368,2780.65
45967,0.168044,0.140617,0.399196,2,10.06,0.186188,0.121654,0.424261,1,0.157448,0.120376,0.443189,0.133356,0.096575,0.387899,0.1921,0.167185,0.402798,4,7715.6704538,6619.8644748,2358.4841765,7715.6704538,0.1620113891,0.1565157424,0.1849422252,0.1329395357,7.05,0.0051847368,2780.65
45967,0.181767,0.152614,0.423169,3,10.06,0.169701,0.11202,0.420635,1,0.16155,0.136455,0.474664,0.157168,0.128412,0.423683,0.188071,0.148686,0.391171,3,7715.6704538,6619.8644748,2358.4841765,7715.6704538,0.1620113891,0.1565157424,0.1849422252,0.1329395357,7.05,0.0051847368,2780.65
45967,0.190703,0.158015,0.433707,4,10.06,0.19189,0.125892,0.437687,1,0.156522,0.136933,0.475782,0.170003,0.134117,0.427032,0.205578,0.188029,0.423083,5,7715.6704538,6619.8644748,2358.4841765,7715.6704538,0.1620113891,0.1565157424,0.1849422252,0.1329395357,7.05,0.0051847368,2780.65
45967,0.217967,0.172672,0.454126,5,10.06,0.216437,0.126529,0.439189,1,0.194478,0.147341,0.498865,0.192854,0.135893,0.445031,0.232028,0.190133,0.43312,4,7715.6704538,6619.8644748,2358.4841765,7715.6704538,0.1620113891,0.1565157424,0.1849422252,0.1329395357,7.05,0.0051847368,2780.65
45975,0.121003,0.129327,0.37137,1,6.83,0.12448,0.107809,0.388371,1,0.104088,0.117713,0.408486,0.082281,0.090065,0.393859,0.160029,0.121392,0.351929,2,8468.221601,8334.1358634,2451.2532062,8468.221601,0.1391804321,0.135683922,0.1644781186,0.1245360226,10.473684211,0.0245928947,383.48
45975,0.137767,0.131115,0.396768,2,6.83,0.128092,0.086576,0.395081,1,0.124231,0.105998,0.429693,0.109642,0.092529,0.409002,0.16686,0.138954,0.378463,0,8468.221601,8334.1358634,2451.2532062,8468.221601,0.1391804321,0.135683922,0.1644781186,0.1245360226,10.473684211,0.0245928947,383.48
45975,0.17112,0.147392,0.425313,3,6.83,0.175594,0.13118,0.427152,1,0.14835,0.134461,0.470684,0.157322,0.117419,0.423511,0.201126,0.137361,0.371397,1,8468.221601,8334.1358634,2451.2532062,8468.221601,0.1391804321,0.135683922,0.1644781186,0.1245360226,10.473684211,0.0245928947,383.48
45975,0.192067,0.148064,0.443446,4,6.83,0.193999,0.109532,0.434016,1,0.147741,0.127519,0.474375,0.147015,0.118874,0.439883,0.214467,0.158018,0.418174,0,8468.221601,8334.1358634,2451.2532062,8468.221601,0.1391804321,0.135683922,0.1644781186,0.1245360226,10.473684211,0.0245928947,383.48
45975,0.172856,0.145217,0.45591,5,6.83,0.165613,0.102858,0.428167,1,0.148231,0.132791,0.491927,0.139716,0.11252,0.436818,0.194984,0.155572,0.435419,1,8468.221601,8334.1358634,2451.2532062,8468.221601,0.1391804321,0.135683922,0.1644781186,0.1245360226,10.473684211,0.0245928947,383.48
45976,0.151993,0.14376,0.369463,1,5.77,0.155793,0.107563,0.397386,1,0.142251,0.119852,0.412981,0.116332,0.092749,0.391254,0.190974,0.155816,0.375043,3,7545.1130579,6624.7999622,2209.1210151,7545.1130579,0.1701225763,0.1601698217,0.194211664,0.1358091791,9.25,0.0340792035,826.71
45976,0.169726,0.142914,0.386691,2,5.77,0.165649,0.103899,0.414407,1,0.137201,0.112017,0.431916,0.119842,0.091411,0.402684,0.196453,0.142031,0.370808,0,7545.1130579,6624.7999622,2209.1210151,7545.1130579,0.1701225763,0.1601698217,0.194211664,0.1358091791,9.25,0.0340792035,826.71
45976,0.209917,0.164717,0.420844,3,5.77,0.200786,0.131606,0.430941,1,0.178541,0.144302,0.47186,0.171342,0.144598,0.447423,0.211282,0.138042,0.375796,3,7545.1130579,6624.7999622,2209.1210151,7545.1130579,0.1701225763,0.1601698217,0.194211664,0.1358091791,9.25,0.0340792035,826.71
45976,0.215019,0.170999,0.439462,4,5.77,0.212036,0.123948,0.45783,1,0.186235,0.146649,0.479822,0.178813,0.130289,0.427197,0.223766,0.171069,0.411784,2,7545.1130579,6624.7999622,2209.1210151,7545.1130579,0.1701225763,0.1601698217,0.194211664,0.1358091791,9.25,0.0340792035,826.71
45976,0.220685,0.168032,0.454137,5,5.77,0.217168,0.117783,0.441897,1,0.193849,0.145765,0.487473,0.195869,0.121796,0.438973,0.220633,0.174185,0.448035,4,7545.1130579,6624.7999622,2209.1210151,7545.1130579,0.1701225763,0.1601698217,0.194211664,0.1358091791,9.25,0.0340792035,826.71
45994,0.118523,0.109894,0.351601,1,8.88,0.101885,0.077847,0.357972,0,0.127759,0.090022,0.390817,0.097813,0.066647,0.348202,0.160468,0.124916,0.354308,3,7317.4940126,6919.0186681,2167.5765294,7317.4940126,0.1674219416,0.1405611718,0.1559162021,0.1260626992,7.1578947368,0.0366004279,0.81
45994,0.134683,0.110433,0.381423,2,8.88,0.110477,0.062197,0.365128,0,0.131821,0.083779,0.409659,0.104495,0.062654,0.35442,0.170047,0.132601,0.388991,1,7317.4940126,6919.0186681,2167.5765294,7317.4940126,0.1674219416,0.1405611718,0.1559162021,0.1260626992,7.1578947368,0.0366004279,0.81
45994,0.188813,0.160569,0.435827,3,8.88,0.180797,0.123393,0.428874,0,0.179237,0.143792,0.469639,0.156169,0.115089,0.404994,0.214345,0.181724,0.412077,1,7317.4940126,6919.0186681,2167.5765294,7317.4940126,0.1674219416,0.1405611718,0.1559162021,0.1260626992,7.1578947368,0.0366004279,0.81
45994,0.201176,0.153305,0.438865,4,8.88,0.17366,0.098093,0.413554,0,0.191699,0.146147,0.472235,0.156005,0.106865,0.392118,0.21898,0.153409,0.413396,2,7317.4940126,6919.0186681,2167.5765294,7317.4940126,0.1674219416,0.1405611718,0.1559162021,0.1260626992,7.1578947368,0.0366004279,0.81
45994,0.196129,0.15792,0.449562,5,8.88,0.175096,0.10639,0.41591,0,0.176838,0.140446,0.470682,0.163438,0.109425,0.40113,0.217507,0.172582,0.442797,5,7317.4940126,6919.0186681,2167.5765294,7317.4940126,0.1674219416,0.1405611718,0.1559162021,0.1260626992,7.1578947368,0.0366004279,0.81
45996,0.165706,0.122373,0.350909,1,8.01,0.165184,0.070369,0.399032,0,0.166777,0.092278,0.390323,0.142889,0.073827,0.376864,0.193414,0.151237,0.368745,0,7826.8428589,6966.7388581,2226.9255668,7826.8428589,0.1979079715,0.1812909332,0.2007857238,0.1301636616,2.4,0.0028052943,59.5
45996,0.182761,0.130328,0.370462,2,8.01,0.167382,0.070849,0.381685,0,0.179349,0.095141,0.394409,0.149544,0.07632,0.352771,0.196305,0.173062,0.376308,1,7826.8428589,6966.7388581,2226.9255668,7826.8428589,0.1979079715,0.1812909332,0.2007857238,0.1301636616,2.4,0.0028052943,59.5
45996,0.225503,0.166557,0.429745,3,8.01,0.215165,0.111597,0.445786,0,0.208224,0.14123,0.463182,0.18959,0.131005,0.423655,0.221011,0.164754,0.388303,7,7826.8428589,6966.7388581,2226.9255668,7826.8428589,0.1979079715,0.1812909332,0.2007857238,0.1301636616,2.4,0.0028052943,59.5
45996,0.221101,0.169346,0.435559,4,8.01,0.217767,0.123564,0.465654,0,0.213654,0.153738,0.478645,0.206335,0.138621,0.430707,0.237353,0.190717,0.392539,1,7826.8428589,6966.7388581,2226.9255668,7826.8428589,0.1979079715,0.1812909332,0.2007857238,0.1301636616,2.4,0.0028052943,59.5
45996,0.22121,0.16276,0.443761,5,8.01,0.213212,0.123257,0.479291,0,0.191625,0.140731,0.470548,0.1896,0.120352,0.428024,0.231978,0.184264,0.415938,7,7826.8428589,6966.7388581,2226.9255668,7826.8428589,0.1979079715,0.1812909332,0.2007857238,0.1301636616,2.4,0.0028052943,59.5
45998,0.143893,0.125111,0.367902,1,6.1,0.150121,0.096952,0.364683,1,0.140673,0.110955,0.411659,0.131991,0.087722,0.389195,0.195538,0.147018,0.384737,2,6781.7859488,6289.3277918,2220.0939966,6781.7859488,0.1836860332,0.1631877708,0.1952294521,0.1267290374,3.45,0.0107349248,947.75
45998,0.175637,0.122461,0.380761,2,6.1,0.177539,0.063332,0.347432,1,0.169266,0.090873,0.41819,0.151166,0.065491,0.368474,0.195074,0.15321,0.37566,3,6781.7859488,6289.3277918,2220.0939966,6781.7859488,0.1836860332,0.1631877708,0.1952294521,0.1267290374,3.45,0.0107349248,947.75
45998,0.199971,0.156666,0.422128,3,6.1,0.197784,0.113475,0.395786,1,0.195343,0.141113,0.464568,0.161589,0.116189,0.408148,0.213286,0.165129,0.391525,3,6781.7859488,6289.3277918,2220.0939966,6781.7859488,0.1836860332,0.1631877708,0.1952294521,0.1267290374,3.45,0.0107349248,947.75
45998,0.20615,0.154854,0.435511,4,6.1,0.204121,0.096021,0.398448,1,0.187583,0.136395,0.474343,0.166314,0.108901,0.408444,0.193543,0.169365,0.412582,5,6781.7859488,6289.3277918,2220.0939966,6781.7859488,0.1836860332,0.1631877708,0.1952294521,0.1267290374,3.45,0.0107349248,947.75
45998,0.230408,0.164656,0.449639,5,6.1,0.233239,0.123594,0.407886,1,0.201545,0.14796,0.484742,0.204916,0.128609,0.43624,0.230315,0.174886,0.43571,2,6781.7859488,6289.3277918,2220.0939966,6781.7859488,0.1836860332,0.1631877708,0.1952294521,0.1267290374,3.45,0.0107349248,947.75
46002,0.148359,0.127542,0.349806,1,7.23,0.156897,0.095506,0.355057,1,0.151904,0.097123,0.39153,0.11998,0.081424,0.364808,0.172541,0.147445,0.33694,1,7071.1859152,6804.0825273,2373.1952267,7071.1859152,0.165234851,0.1401530432,0.1788964832,0.119267021,25.333333333,0.0361590363,535.77
46002,0.130883,0.102248,0.355475,2,7.23,0.142862,0.062227,0.333754,1,0.130848,0.07008,0.390576,0.099463,0.052937,0.342791,0.151665,0.125696,0.326918,0,7071.1859152,6804.0825273,2373.1952267,7071.1859152,0.165234851,0.1401530432,0.1788964832,0.119267021,25.333333333,0.0361590363,535.77
46002,0.192497,0.155954,0.39949,3,7.23,0.200971,0.123723,0.393294,1,0.171385,0.135184,0.446483,0.148538,0.129691,0.390123,0.194653,0.151908,0.337335,3,7071.1859152,6804.0825273,2373.1952267,7071.1859152,0.165234851,0.1401530432,0.1788964832,0.119267021,25.333333333,0.0361590363,535.77
46002,0.188587,0.149695,0.411053,4,7.23,0.173045,0.112429,0.403077,1,0.178408,0.137715,0.449923,0.148366,0.117369,0.400377,0.188227,0.153948,0.360776,5,7071.1859152,6804.0825273,2373.1952267,7071.1859152,0.165234851,0.1401530432,0.1788964832,0.119267021,25.333333333,0.0361590363,535.77
46002,0.218969,0.169598,0.442768,5,7.23,0.220246,0.127553,0.432396,1,0.195417,0.146717,0.470848,0.192906,0.123414,0.426063,0.224102,0.182873,0.407647,12,7071.1859152,6804.0825273,2373.1952267,7071.1859152,0.165234851,0.1401530432,0.1788964832,0.119267021,25.333333333,0.0361590363,535.77
46007,0.123607,0.118975,0.370088,1,9.74,0.117103,0.083467,0.395095,0,0.13004,0.109362,0.413463,0.109741,0.093958,0.379164,0.162038,0.140221,0.401018,0,9059.4185294,8258.4076429,2751.9035756,9059.4185294,0.1682910567,0.16333635,0.1824035311,0.1329517601,3.7368421053,0.0443075343,0.91
46007,0.125082,0.090063,0.367883,2,9.74,0.127763,0.066394,0.392214,0,0.112202,0.075434,0.412642,0.090098,0.058199,0.366718,0.156504,0.094681,0.361775,2,9059.4185294,8258.4076429,2751.9035756,9059.4185294,0.1682910567,0.16333635,0.1824035311,0.1329517601,3.7368421053,0.0443075343,0.91
46007,0.198215,0.1669,0.446869,3,9.74,0.203463,0.146707,0.473253,0,0.183341,0.154222,0.489897,0.200124,0.137216,0.422816,0.224853,0.167936,0.418104,5,9059.4185294,8258.4076429,2751.9035756,9059.4185294,0.1682910567,0.16333635,0.1824035311,0.1329517601,3.7368421053,0.0443075343,0.91
46007,0.209484,0.162079,0.458976,4,9.74,0.211017,0.104144,0.458396,0,0.202493,0.156013,0.500088,0.188985,0.123238,0.430314,0.224703,0.177697,0.432786,5,9059.4185294,8258.4076429,2751.9035756,9059.4185294,0.1682910567,0.16333635,0.1824035311,0.1329517601,3.7368421053,0.0443075343,0.91
46007,0.214492,0.169655,0.469299,5,9.74,0.213004,0.120854,0.464481,0,0.186751,0.153858,0.498907,0.188678,0.137023,0.447989,0.233604,0.187162,0.483491,7,9059.4185294,8258.4076429,2751.9035756,9059.4185294,0.1682910567,0.16333635,0.1824035311,0.1329517601,3.7368421053,0.0443075343,0.91
46011,0.155839,0.135667,0.350118,1,5.62,0.153631,0.11056,0.373841,0,0.145193,0.107791,0.394174,0.127571,0.082148,0.366454,0.196162,0.1636,0.362601,2,7831.6676047,6758.7014824,2186.8661307,7831.6676047,0.1710214217,0.1651545197,0.194709835,0.1258262169,3.4,0.0258964671,1.63
46011,0.163588,0.123341,0.349578,2,5.62,0.162224,0.099361,0.37146,0,0.126816,0.100156,0.403575,0.121434,0.076805,0.363002,0.200255,0.135984,0.334214,2,7831.6676047,6758.7014824,2186.8661307,7831.6676047,0.1710214217,0.1651545197,0.194709835,0.1258262169,3.4,0.0258964671,1.63
46011,0.216327,0.160356,0.418376,3,5.62,0.20253,0.099439,0.412189,0,0.182978,0.132098,0.461418,0.172841,0.110208,0.409357,0.22368,0.171274,0.373719,0,7831.6676047,6758.7014824,2186.8661307,7831.6676047,0.1710214217,0.1651545197,0.194709835,0.1258262169,3.4,0.0258964671,1.63
46011,0.233867,0.164807,0.432633,4,5.62,0.216833,0.115643,0.428559,0,0.19103,0.138484,0.473155,0.190189,0.13222,0.421065,0.247426,0.176552,0.388583,7,7831.6676047,6758.7014824,2186.8661307,7831.6676047,0.1710214217,0.1651545197,0.194709835,0.1258262169,3.4,0.0258964671,1.63
46011,0.232022,0.170034,0.442311,5,5.62,0.215098,0.124857,0.438287,0,0.198434,0.143153,0.469718,0.199125,0.128415,0.42541,0.232649,0.200827,0.42719,3,7831.6676047,6758.7014824,2186.8661307,7831.6676047,0.1710214217,0.1651545197,0.194709835,0.1258262169,3.4,0.0258964671,1.63
